name;team;9.5.2004;8.5.2005;30.4.2006;27.5.2007;17.5.2008;23.5.2009;22.5.2010;28.5.2011;3.6.2012;2.6.2013;1.6.2014;30.5.2015;gender
Hony;Tamara, Rumíci, Zblitek;;;;;2;;0;1;3;3;0;;man
Høíbek;Orion 2, Do hlavy ne, Orion, DvT;;;0;3;1;1;2;1;1;-;-;;man
Maník;UFB;;;;;;;;;;9;-;;man
Mara;Café, Dívèí team;;;;;;1;5;1;-;2;-;;woman
Okeo;Zbytek, Outsider team, Chlupaté bestie;;;;;1;3;2;-;0;1;2;;man
Slùòa;Do hlavy ne, Orion, Dívèí team;1;2;2;0;0;1;-;0;1;2;-;;man
Medvìd;12. støedisko;6;0;-;2;-;0;-;-;-;-;-;-;man
Davídek;Odpad A;;;;;;;;;;;;8;man
Èièi;Díra v Tichu, Telefonní èíslo;;;;;2;-;0;6;-;-;-;;man
Konop;UFB;;;;;;;;;;8;-;;man
Stoupa;Zabíjácké Veverky;-;2;-;-;6;-;-;-;-;-;-;;man
Frenkı (Forrest);Olihnì;;;;;;;;;;;7;-;man
Ivèa;Tragédi, Zblitek, Tamara;;;;1;0;;0;-;1;1;4;-;woman
Marek;Š-moulové;;;;;;;;;;;;7;man
Igren;Epix;;;;;;;;;;;;7;man
Filip;Odpad B, Odpad A;;;;;;;;;;-;1;6;man
Franta;Selátka;;;;;;;;;3;-;-;4;man
Márty;Jak za mlada;;;;;;;;;4;0;0;3;woman
Šárka;Praskı vıbìr, Š-moulové;;;;;;;1;0;1;1;2;2;woman
Cille;Chlupaté bestie, Zbytek, Outsider team;;;;;2;2;-;;2;1;-;;man
Císaø;Chlupaté bestie;;;;;;;;;;7;-;;man
Vrbka;Telefonní èíslo;2;2;0;0;0;0;0;3;0;0;-;;woman
Honza;Telefoní èíslo;;;;;;;;;;;3;4;man
Orynè;Olihnì;;;;;;;;;;;;6;man
Šáša;Hot Dogs, Dvanáctka, Poivaèní Samci;-;-;-;-;1;2;1;0;1;0;-;1;man
Banèa;Rudá síla, Kafé;-;0;2;0;2;;-;-;2;-;-;;woman
Cri-cri;Zabijácké veverky;;;;3;3;-;-;-;-;-;-;;man
Kytka;Café, Dívèí team;;;;;;2;2;1;0;1;-;;woman
